2026-03-19 18:06:17,560 | modules.data_loader  | INFO  |   ETH/USDT 5m — 10000 bougies téléchargées (→ 2021-02-04)
2026-03-19 18:06:17,866 | modules.data_loader  | INFO  |   ETH/USDT 5m — 11000 bougies téléchargées (→ 2021-02-08)
2026-03-19 18:06:21,038 | modules.data_loader  | INFO  |   ETH/USDT 5m — 20000 bougies téléchargées (→ 2021-03-11)
2026-03-19 18:06:21,310 | modules.data_loader  | INFO  |   ETH/USDT 5m — 21000 bougies téléchargées (→ 2021-03-14)
2026-03-19 18:06:24,219 | modules.data_loader  | INFO  |   ETH/USDT 5m — 30000 bougies téléchargées (→ 2021-04-15)
2026-03-19 18:06:24,484 | modules.data_loader  | INFO  |   ETH/USDT 5m — 31000 bougies téléchargées (→ 2021-04-18)
2026-03-19 18:06:27,301 | modules.data_loader  | INFO  |   ETH/USDT 5m — 40000 bougies téléchargées (→ 2021-05-19)
2026-03-19 18:06:27,565 | modules.data_loader  | INFO  |   ETH/USDT 5m — 41000 bougies téléchargées (→ 2021-05-23)
2026-03-19 18:06:31,898 | modules.data_loader  | INFO  |   ETH/USDT 5m — 50000 bougies téléchargées (→ 2021-06-23)
2026-03-19 18:06:32,381 | modules.data_loader  | INFO  |   ETH/USDT 5m — 51000 bougies téléchargées (→ 2021-06-27)
2026-03-19 18:06:35,170 | modules.data_loader  | INFO  |   ETH/USDT 5m — 60000 bougies téléchargées (→ 2021-07-28)
2026-03-19 18:06:35,429 | modules.data_loader  | INFO  |   ETH/USDT 5m — 61000 bougies téléchargées (→ 2021-07-31)
2026-03-19 18:06:38,007 | modules.data_loader  | INFO  |   ETH/USDT 5m — 70000 bougies téléchargées (→ 2021-09-01)
2026-03-19 18:06:38,348 | modules.data_loader  | INFO  |   ETH/USDT 5m — 71000 bougies téléchargées (→ 2021-09-04)
2026-03-19 18:06:41,729 | modules.data_loader  | INFO  |   ETH/USDT 5m — 80000 bougies téléchargées (→ 2021-10-05)
2026-03-19 18:06:42,030 | modules.data_loader  | INFO  |   ETH/USDT 5m — 81000 bougies téléchargées (→ 2021-10-09)
2026-03-19 18:06:45,320 | modules.data_loader  | INFO  |   ETH/USDT 5m — 90000 bougies téléchargées (→ 2021-11-09)
2026-03-19 18:06:45,581 | modules.data_loader  | INFO  |   ETH/USDT 5m — 91000 bougies téléchargées (→ 2021-11-12)
2026-03-19 18:06:48,028 | modules.data_loader  | INFO  |   ETH/USDT 5m — 100000 bougies téléchargées (→ 2021-12-14)
2026-03-19 18:06:48,483 | modules.data_loader  | INFO  |   ETH/USDT 5m — 101000 bougies téléchargées (→ 2021-12-17)
2026-03-19 18:06:51,964 | modules.data_loader  | INFO  |   ETH/USDT 5m — 110000 bougies téléchargées (→ 2022-01-17)
2026-03-19 18:06:52,228 | modules.data_loader  | INFO  |   ETH/USDT 5m — 111000 bougies téléchargées (→ 2022-01-21)
2026-03-19 18:06:55,812 | modules.data_loader  | INFO  |   ETH/USDT 5m — 120000 bougies téléchargées (→ 2022-02-21)
2026-03-19 18:06:56,079 | modules.data_loader  | INFO  |   ETH/USDT 5m — 121000 bougies téléchargées (→ 2022-02-25)
2026-03-19 18:06:59,507 | modules.data_loader  | INFO  |   ETH/USDT 5m — 130000 bougies téléchargées (→ 2022-03-28)
2026-03-19 18:06:59,856 | modules.data_loader  | INFO  |   ETH/USDT 5m — 131000 bougies téléchargées (→ 2022-03-31)
2026-03-19 18:07:03,351 | modules.data_loader  | INFO  |   ETH/USDT 5m — 140000 bougies téléchargées (→ 2022-05-02)
